"EG","ORCAM","0301-0377","Transit ORCAM UK"
"EG","EG","0470-0477","UK Domestic"
"EG","ORCAM","0501-0577","Transit ORCAM UK"
"EG","ORCAM","1140-1176","Transit ORCAM UK"
"EG","LF","2201-2277","Superdomestic UK to LF, LE, LP, GC and FA"
"EG","LE","2201-2277","Superdomestic UK to LF, LE, LP, GC and FA"
"EG","LP","2201-2277","Superdomestic UK to LF, LE, LP, GC and FA"
"EG","GC","2201-2277","Superdomestic UK to LF, LE, LP, GC and FA"
"EG","FA","2201-2277","Superdomestic UK to LF, LE, LP, GC and FA"
"EG","EG","3260-3277","UK Domestic"
"EG","EG","3370-3377","UK Domestic"
"EG","ED","3401-3457","Superdomestic - UK to ED EH and EB"
"EG","EH","3401-3457","Superdomestic - UK to ED EH and EB"
"EG","EB","3401-3457","Superdomestic - UK to ED EH and EB"
"EG","EG","4354-4377","UK Domestic"
"EG","EI","4430-4477","Superdomestic - UK to Eire and Oceanic"
"EG","EG","5013-5017","UK Domestic"
"EG","ORCAM","5201-5260","Transit ORCAM UK"
"EG","EG","5401-5477","UK Domestic"
"EG","EG","6001-6007","UK Domestic"
"EG","EG","6010-6037","UK Domestic"
"EG","U","6230-6247","Superdomestic UK to Scandinavia and Russia"
"EG","ES","6230-6247","Superdomestic UK to Scandinavia and Russia"
"EG","EN","6230-6247","Superdomestic UK to Scandinavia and Russia"
"EG","EF","6230-6247","Superdomestic UK to Scandinavia and Russia"
"EG","EK","6230-6247","Superdomestic UK to Scandinavia and Russia"
"EG","EH","6250-6257","Superdomestic - UK to Amsterdam"
"EG","LF","6301-6377","Superdomestic - UK to France"
"EG","EG","6460-6477","UK Domestic"
"EG","EG","7014-7027","UK Domestic"
"EG","LF","7250-7257","UK Superdomestic to France and Barcelona"
"EG","LEBL","7250-7257","UK Superdomestic to France and Barcelona"
"EG","EH","7310-7327","Superdomestic - UK to Netherlands"
"EG","EG","7402-7437","UK Domestic"
"EG","K","7620-7657","Superdomestic UK to USA, Canada, Caribbean"
"EG","C","7620-7657","Superdomestic UK to USA, Canada, Caribbean"
"EG","T","7620-7657","Superdomestic UK to USA, Canada, Caribbean"
"EG","K","7660-7677","Superdomestic UK to USA, Canada, Caribbean"
"EG","C","7660-7677","Superdomestic UK to USA, Canada, Caribbean"
"EG","T","7660-7677","Superdomestic UK to USA, Canada, Caribbean"
"EG","LF","7701-7717","Superdomestic - UK to France and Spain"
"EG","LE","7701-7717","Superdomestic - UK to France and Spain"
"EG","EGJA","7760-7775","Superdomestic UK-Channel Islands"
"EG","EGJB","7760-7775","Superdomestic UK-Channel Islands"
"EG","EGJJ","7760-7775","Superdomestic UK-Channel Islands"
